ID,Продукт,Регион,по,Правообладатель,Новое назавание
9658111,Saints Row: The Third,RUB,ИГРЫ. Плэйхард Агентский,Плэйхард,Saints Row: The Third RUB
9659859,Alan Wake,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Alan Wake
11165360,Gothic III: Forsaken Gods Enhanced Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Gothic III: Forsaken Gods Enhanced Edition
11165442,Darksiders Warmastered Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Darksiders Warmastered Edition
11169243,The Guild II - Renaissance,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,The Guild II - Renaissance
11214220,Spellforce 2: Anniversary Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Spellforce 2: Anniversary Edition
11229771,Spellforce - Platinum Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Spellforce - Platinum Edition
11250605,Gothic Universe Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Gothic Universe Edition
11250606,Gothic III,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Gothic III
11250607,Gothic II: Gold Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Gothic II: Gold Edition
11250812,The Book of Unwritten Tales,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,The Book of Unwritten Tales RU
11250814,The Book of Unwritten Tales - Deluxe Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,The Book of Unwritten Tales - Deluxe Edition RU
11250815,The Guild II,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,The Guild II
11251940,Alan Wake’s American Nightmare,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Alan Wake’s American Nightmare
11487929,Desperados: Wanted Dead Or Alive,RUB,ИГРЫ. THQ Nordic Games,THQ Nordic Games,Desperados: Wanted Dead Or Alive RUB
11544502,MX vs. ATV Reflex,RUB,THQ Nordic Games,THQ Nordic Games,MX vs. ATV Reflex RUB
11546833,Finding Teddy,RUB,RUB GAMES. Plug-in-Digital,Plug-in-Digital,Finding Teddy RUB
11824769,Kill The Bad Guy,RU,ИГРЫ. Plug-in-Digital,Plug-in-Digital,Kill The Bad Guy
12054331,Silent Storm Gold Edition,RUB,RUB GAMES. THQ Nordic Games,THQ Nordic Games,Silent Storm Gold Edition RUB
12054332,This Is the Police 2,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,This Is the Police 2
12054334,Black Mirror I,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Black Mirror I
12132702,The Sims 4. На работу!,RU,ИГРЫ. 1c (с НДС),ТМ,The Sims 4. На работу! RU
12138498,DRAGON BALL XENOVERSE,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,DRAGON BALL XENOVERSE
12218139,Darksiders II: Deathinitive Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Darksiders II: Deathinitive Edition
13364323,The Book of Unwritten Tales Collection,RUB,ИГРЫ. THQ Nordic Games,THQ Nordic Games,The Book of Unwritten Tales Collection RUB
13364324,Black Mirror II,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Black Mirror II
13364325,Black Mirror III,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Black Mirror III
13406714,Wurm Unlimited,RUB,RUB GAMES. Plug-in-Digital,Plug-in-Digital,Wurm Unlimited RUB
13974638,Tales of Zestiria,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,Tales of Zestiria
14004113,MX vs. ATV Unleashed,RUB,RUB GAMES. THQ Nordic Games,THQ Nordic Games,MX vs. ATV Unleashed RUB
14121432,Naruto Shippuden: Ultimate Ninja Storm 4 - Season Pass,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,Naruto Shippuden: Ultimate Ninja Storm 4 - Season Pass
14143353,Tales of Symphonia,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,Tales of Symphonia
14152272,One Piece Pirate Warriors 3,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,One Piece Pirate Warriors 3
14238327,The Guild Gold Edition,,THQ Nordic Games,THQ Nordic Games,The Guild Gold Edition 
14317814,Ori and the Blind Forest - Definitive Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Ori and the Blind Forest - Definitive Edition RU
14387244,This is the Police,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,This is the Police
14387245,One Piece Burning Blood,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,One Piece Burning Blood
14387251,DRAGON BALL XENOVERSE 2,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,DRAGON BALL XENOVERSE 2
14390736,State of Decay: Year One Survival Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,State of Decay: Year One Survival Edition RU
14399551,The Sims 4: Веселимся вместе!,RU,ИГРЫ. 1c (с НДС),ТМ,The Sims 4: Веселимся вместе!
14467441,Quantum Break,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Quantum Break RU
14476619,Furi,RU,ИГРЫ. Plug-in-Digital,Plug-in-Digital,Furi
14534198,Shadow Tactics: Blades of the Shogun,RU,ИГРЫ. Daedalic,Daedalic,Shadow Tactics: Blades of the Shogun
14553800,Back to Bed,RU,ИГРЫ. Plug-in-Digital,Plug-in-Digital,Back to Bed
14554328,Resident Evil 7,RU,ИГРЫ. Capcom (Genba),Genba,Resident Evil 7
14567993,A Normal Lost Phone,RUB,RUB GAMES. Plug-in-Digital,Plug-in-Digital,A Normal Lost Phone RUB
14569245,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Road to Boruto Expansion,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Road to Boruto Expansion
14599677,TEKKEN 7,RU,ИГРЫ. Bandai Namco Ent. (Genba),ИГРЫ. BANDAI NAMCO Entertainment,TEKKEN 7 RU
14627640,Adam Wolfe,RUB,RUB GAMES. Plug-in-Digital,Plug-in-Digital,Adam Wolfe RUB
14728699,Nekuia,,,Plug-in-Digital,Nekuia
14824635,The Fan,RU,ИГРЫ. Plug-in-Digital,Plug-in-Digital,The Fan RU
14831371,ELEX,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,ELEX RU
14998705,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2
14999067,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD RU
16011695,Timberman,RUB,RUB GAMES. Forever-Entertainment,Forever-Entertainment,Timberman RUB
16033114,Ni No Kuni II: Revenant Kingdom,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,Ni No Kuni II: Revenant Kingdom
16033117,Dragon Ball FighterZ - FighterZ Edition,RU,ИГРЫ. Bandai Namco Ent. (Genba),Genba,Dragon Ball FighterZ - FighterZ Edition RU
16059732,Sword Art Online: Fatal Bullet,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,Sword Art Online: Fatal Bullet RU
16135942,Hitman: Absolution,RU,ИГРЫ. IO Interactive (Genba),Genba,Hitman: Absolution RU
16158430,Risen 2: Dark Waters - Gold Edition,RUB,ИГРЫ. THQ Nordic Games,THQ Nordic Games,Risen 2: Dark Waters - Gold Edition RUB
16158442,Sacred 2 Gold,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Sacred 2 Gold
16158453,Saints Row 2,RU,ИГРЫ. Deep Silver,Deep Silver,Saints Row 2
16179367,Wreckfest,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Wreckfest
16206506,Darksiders III,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Darksiders III
16206507,Darksiders III - Deluxe Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Darksiders III - Deluxe Edition
16214850,Castlevania: Lords of Shadow – Ultimate Edition,RUB ,RUB GAMES. Konami (Genba),Genba,Castlevania: Lords of Shadow – Ultimate Edition RUB 
16214852,METAL GEAR SOLID V: GROUND ZEROES,RUB ,RUB GAMES. Konami (Genba),Genba,METAL GEAR SOLID V: GROUND ZEROES RUB 
16214853,METAL GEAR SOLID V: The Definitive Experience,RU,ИГРЫ. Konami (Genba),Genba,METAL GEAR SOLID V: The Definitive Experience RU
16214854,Metal Gear Solid V: The Phantom Pain,RU,ИГРЫ. Konami (Genba),Genba,Metal Gear Solid V: The Phantom Pain RU
16221515,RESIDENT EVIL 2,RU,ИГРЫ. Capcom (Genba),Genba,RESIDENT EVIL 2
16223516,This Is the Police 2,RU,ИГРЫ. THQ Nordic Games,THQ Nordic Games,This Is the Police 2 RU
16614566,Mana Spark,RUB,RUB GAMES. Plug-in-Digital,Plug-in-Digital,Mana Spark RUB
16618614,New Gundam Breaker,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,New Gundam Breaker
16618742,Life is Feudal: Your Own,RUB,RUB GAMES. Bitbox Ltd.,Bitbox Ltd.,Life is Feudal: Your Own RUB
16636419,MY HERO ONE'S JUSTICE,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,MY HERO ONE'S JUSTICE
16637077,Alone in the Dark Anthology,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Alone in the Dark Anthology
16637082,Alone in the Dark: The New Nightmare,RUB,ИГРЫ. THQ Nordic Games,THQ Nordic Games,Alone in the Dark: The New Nightmare RUB
16656326,Alan Wake Collector’s Edition,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Alan Wake Collector’s Edition
16689329,Tropico 6 - El-Prez Edition,RUB,ИГРЫ. Kalypso (Genba),Genba,Tropico 6 - El-Prez Edition RUB
16710402,Sunset Overdrive,RU,ИГРЫ. THQ Nordic Games,THQ Nordic Games,Sunset Overdrive
16744832,Roof Rage,RU,ИГРЫ. Plug-in-Digital,Plug-in-Digital,Roof Rage RU
16793876,GOD EATER 3,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,GOD EATER 3
16802096,THE SIMS 4,RU,ИГРЫ. EA Games Epay,Евронет Сервисез,THE SIMS 4 RU
16802099,THE SIMS 4: CATS & DOGS,RU,ИГРЫ. EA Games Epay,Евронет Сервисез,THE SIMS 4: CATS & DOGS RU
16802100,THE SIMS 4: SEASONS,RU,ИГРЫ. EA Games Epay,Евронет Сервисез,THE SIMS 4: SEASONS
16811742,Ghost of a Tale,RUB,RUB GAMES. Plug-in-Digital,Plug-in-Digital,Ghost of a Tale RUB
16829946,ONE PIECE World Seeker,RU,ИГРЫ. BANDAI NAMCO Entertainment,ИГРЫ. BANDAI NAMCO Entertainment,ONE PIECE World Seeker
18034731,CryoFall,RU,ИГРЫ. Daedalic,Daedalic,CryoFall
18051511,Titan Quest Anniversary Edition / Titan Quest: Atlantis,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Titan Quest Anniversary Edition / Titan Quest: Atlantis
18052202,Death end re;Quest,RU,ИГРЫ. Idea Factory (PID),Plug-in-Digital,Death end re;Quest RU
18058607,Castlevania Classics Anniversary Collection,RUB ,RUB GAMES. Konami (Genba),Genba,Castlevania Classics Anniversary Collection RUB 
18120932,Barotrauma,RU,ИГРЫ. Daedalic,Daedalic,Barotrauma
