listing,catID,product
007 First Light (Europe) (PC) - Steam - Digital Key,19622556,007 First Light EUR
Animal Shelter 2 (Global) (PC) - Steam - Digital Key,19192386,Animal Shelter 2 RUB
ARC Raiders - Deluxe Edition (Global) (PC) - Steam - Digital Key,19192779,ARC Raiders - Deluxe Edition PLN
ARC Raiders (Global) (PC) - Steam - Digital Key,19192617,ARC Raiders RUB
Arma 3 (Europe) (PC) - Steam - Digital Key,19192410,Arma 3
Beholder (Global) (PC / Mac) - Steam - Digital Key,19178979,Beholder (Global) (PC / Mac) - Steam - Digital Key
Beholder 2 (Global) (PC / Mac / Linux) - Steam - Digital Key,19178981,Beholder 2 RU
Beholder 3 (Global) (PC) - Steam - Digital Key,19178982,Beholder 3 RUB
Bendy and the Dark Revival (Global) (PC) - Steam - Digital Key,19187775,Bendy and the Dark Revival RUB
Bendy and the Ink Machine (Global) (PC / Mac / Linux) - Steam - Digital Key,19187774,Bendy and the Ink Machine RUB
Coffee Talk Tokyo (Global) (PC) - Steam - Digital Key,19680724,Coffee Talk Tokyo RUB
Crimson Desert (Europe) (PC / Mac) - Steam - Digital Key,19192808,Crimson Desert
Crimson Desert Deluxe Edition (Europe) (PC / Mac) - Steam - Digital Key,19192809,Crimson Desert - Deluxe Edition
DAVE THE DIVER (Europe) (PC / Mac) - Steam - Digital Key,19186466,Dave The Diver NOK
Dead Island 2 (Europe) (PC) - Steam - Digital Key,19181280,Dead Island 2
Deus Ex Mankind Divided (Global) (PC / Mac / Linux) - Steam - Digital Key,19174580,Deus Ex: Mankind Divided KRW 
Directive 8020 (Global) (PC) - Steam - Digital Key,19647657,Directive 8020 UAH
EARTH DEFENSE FORCE 5 (Global) (PC) - Steam - Digital Key,19186984,EARTH DEFENSE FORCE 5 UAH
EARTH DEFENSE FORCE 6 (Global) (PC) - Steam - Digital Key,19187630,EARTH DEFENSE FORCE 6 UAH
Fae Farm (Global) (PC) - Steam - Digital Key,19192003,Fae Farm RUB
FlatOut 2 (Global) (PC) - Steam - Digital Key,19636453,FlatOut 2 RUB
For The King II (India) (PC) - Steam - Digital Key,19175725,For The King II EU
Gothic 3 Forsaken Gods Enhanced Edition (Global) (PC) - Steam - Digital Key,11165360,Gothic III: Forsaken Gods Enhanced Edition
Gothic Universe Edition (Global) (PC) - Steam - Digital Key,11250605,Gothic Universe Edition
Hatred (Global) (PC / Linux) - Steam - Digital Key,19152488,Hatred
Hell Let Loose (Global) (PC) - Steam - Digital Key,19150134,Hell Let Loose
Kingdom Come Deliverance II Royal Edition (Europe) (PC) - Steam - Digital Key,19192847,Kingdom Come Deliverance II Royal Edition
Legacy of Kain Soul Reaver 1 & 2 Remastered (Global) (PC) - Steam - Digital Key,19185403,Legacy of Kain™ Soul Reaver 1&2 Remastered KRW
LEGO Batman - Legacy of the Dark Knight Deluxe Edition (Europe) (PC) - Steam - Digital Key,19635804,LEGO® Batman™: Legacy of the Dark Knight - Deluxe Edition EUR
Metro 2033 Redux (Europe) (PC / Mac) - Steam - Digital Key,19185811,Metro 2033 Redux
MISERY (Global) (PC) - Steam - Digital Key,19623900,MISERY EUR 
Necroking (Global) (PC / Mac) - Steam - Digital Key,19185067,Necroking RU
NORSE Oath of Blood (Europe) (PC) - Steam - Digital Key,19627546,NORSE: Oath of Blood KRW
Operation Tango (Europe) (PC) - Steam - Digital Key,19191735,Operation: Tango EUR
Outpost Infinity Siege (Global) (PC) - Steam - Digital Key,19184275,Outpost: Infinity Siege CIS
Overcooked (Global) (PC) - Steam - Digital Key,19150137,Overcooked! EU
Punch Club (Global) (PC / Mac / Linux) - Steam - Digital Key,19146777,Punch Club RUB
Quasimorph (Global) (PC) - Steam - Digital Key,19175411,Quasimorph RU
rFactor 2 (Europe) (PC) - Steam - Digital Key,19192591,rFactor 2 CNY
Rise of the Tomb Raider 20 Year Celebration Edition (Global) (PC / Mac / Linux) - Steam - Digital Key,19168937,Rise of the Tomb Raider: 20 Year Celebration KR
Shadow of the Tomb Raider Definitive Edition (Global) (PC / Mac / Linux) - Steam - Digital Key,19168936,Shadow of the Tomb Raider: Definitive Edition KRW
Shape of Dreams (Global) (PC) - Steam - Digital Key,19191611,Shape of Dreams UAH
Sid Meier's Civilization VI (Global) (PC / Mac / Linux) - Steam - Digital Key,19184032,Sid Meier’s Civilization® VI KRW
Sid Meier's Civilization VI Gathering Storm DLC (Global) (PC / Mac / Linux) - Steam - Digital Key,19184034,Sid Meier’s Civilization® VI: Gathering Storm KRW
Squad (Global) (PC) - Steam - Digital Key,19179758,Squad 
Wall World (Global) (PC) - Steam - Digital Key,19178991,Wall World
Wall World 2 (Global) (PC / Mac) - Steam - Digital Key,19192751,Wall World 2 RUB
World War Z (Global) (PC) - Steam - Digital Key,19168910,World War Z KRW
