listing,catID,product
 007 First Light Steam Key (PC) EUROPE ,19622556,007 First Light 
 12 is Better Than 6 Steam Key GLOBAL ,19168531,12 is Better Than 6 RUB
 Alan Wake (Collector's Edition) Steam Key GLOBAL ,16656326,Alan Wake Collector’s Edition
 Animal Shelter - Horse Shelter (DLC) (PC) Steam Key GLOBAL ,19181469,Animal Shelter - Horse Shelter DLC RU
 Animal Shelter - Vet Clinic (DLC) (PC) Steam Key GLOBAL ,19181466,Animal Shelter - Vet Clinic DLC RU
 Animal Shelter 2 Steam Key (PC) GLOBAL ,19192386,Animal Shelter 2 RUB
 Animal Shelter Simulator (PC) Steam Key GLOBAL ,19181462,Animal Shelter
 APICO (PC) Steam Key GLOBAL ,19186776,APICO RUB
 ARC Raiders - Deluxe Edition Steam Key (PC) GLOBAL ,19192776,ARC Raiders - Deluxe Edition RUB
 ARC Raiders Steam Key (PC) GLOBAL ,19192617,ARC Raiders RUB
 Assemble With Care Steam Key GLOBAL ,19145701,Assemble with Care RU
 Assetto Corsa (Ultimate Edition) Steam Key EUROPE ,19149797,Assetto Corsa - Ultimate Edition EU
 Bakery Simulator (PC) Steam Key GLOBAL ,19183539,Bakery Simulator RUB
 Battlefield 2042 - 13000 BFC Xbox Live Key GLOBAL ,19631174,Battlefield™ 2042 - 13000 BFC (Xbox)
 Battlefield 2042 - 2400 BFC Xbox Live Key GLOBAL ,19631172,Battlefield™ 2042 - 2400 BFC (Xbox)
 Beholder - Blissful Sleep (DLC) Steam Key GLOBAL ,19178980,Beholder - Blissful Sleep RU
 Beholder 2 Steam Key GLOBAL ,19178981,Beholder 2 RU
 Beholder 3 (PC) Steam Key GLOBAL ,19178982,Beholder 3 RUB
 Beholder Steam Key GLOBAL ,19178979,Beholder RU
 Bendy and the Dark Revival (PC) Steam Key GLOBAL ,19187775,Bendy and the Dark Revival RUB
 Beyond: Two Souls Steam Key EUROPE ,19651054,Beyond: Two Souls 
 Black Myth: Wukong Digital Deluxe Edition (PC) Steam Key GLOBAL ,19184699,Black Myth: Wukong - Deluxe Edition USD
 Borderlands 4 Super Deluxe Edition Steam Key (PC) EUROPE ,19631886,Borderlands 4 - Super Deluxe Edition EUR
 Brotato Steam Key (PC) GLOBAL ,19672457,Brotato EUR
 Cafe Owner Simulator (PC) Steam Key GLOBAL ,19181616,Cafe Owner Simulator RUB
 Call of Duty WWII Gold Edition XBOX LIVE Key GLOBAL ,19633910,Call of Duty®: WWII - Gold Edition
 Call of Duty: Vanguard - Standard Edition XBOX LIVE Key GLOBAL ,19633908,Call of Duty®: Vanguard - Standard Edition
 Car Detailing Simulator (PC) Steam Key GLOBAL ,19181468,Car Detailing Simulator RUB
 Car Mechanic Simulator 2021 (PC) Steam Key EUROPE ,19181497,Car Mechanic Simulator 2021 EU
 Clair Obscur: Expedition 33 Deluxe Edition Steam Key (PC) EUROPE ,19188270,Clair Obscur: Expedition 33 - Deluxe Edition KRW
 Coffee Talk: Tokyo Steam Key (PC) GLOBAL ,19680724,Coffee Talk Tokyo RUB
 Crimson Desert Deluxe Edition Steam Key (PC) EUROPE ,19192809,Crimson Desert - Deluxe Edition
 Crimson Desert Steam Key (PC) EUROPE ,19192808,Crimson Desert
 DARK SOULS™ II Crown of the Old Iron King (DLC) (PC) Steam Key GLOBAL ,19183205,DARK SOULS™ II Crown of the Old Iron King EUR
 DARK SOULS™ II Crown of the Sunken King (DLC) (PC) Steam Key GLOBAL ,19183205,DARK SOULS™ II Crown of the Old Iron King EUR
 Darkest Dungeon - The Color Of Madness (DLC) Steam Key GLOBAL ,19177854,Darkest Dungeon: The Color of Madness RU
 Darkest Dungeon - The Shieldbreaker (DLC) Steam Key GLOBAL ,19177849,Darkest Dungeon: The Shieldbreaker RUB
 Darkest Dungeon: The Crimson Court (DLC) Steam Key GLOBAL ,19177847,Darkest Dungeon: The Crimson Court RU
 Darksiders (Warmastered Edition) Steam Key GLOBAL ,11165442,Darksiders Warmastered Edition
 DarkSwitch Steam Key (PC) GLOBAL ,19651902,DarkSwitch RUB
 Darkwood (PC) Steam Key EUROPE ,19623021,Darkwood EUR
 Dead Island 2 (PC) Steam Key EUROPE ,19181280,Dead Island 2
 Death end re;Quest Steam Key GLOBAL ,18052202,Death end re;Quest RU
 Death end re;Quest: Code Z Steam Key (PC) GLOBAL ,19191744,Death end re;Quest: Code Z RUB
 DEATH STRANDING 2: ON THE BEACH Steam Key (PC) EUROPE ,19628136,DEATH STRANDING 2: ON THE BEACH PLN
 Detroit: Become Human Steam Key EUROPE ,19651047,Detroit: Become Human NZD
 Deus Ex: Human Revolution (Directors Cut) Steam Key GLOBAL ,19174627,Deus Ex: Human Revolution - Director's Cut KR
 Deus Ex: Mankind Divided Steam Key GLOBAL ,19174580,Deus Ex: Mankind Divided KRW 
 Die in the Dungeon (PC) Steam Key GLOBAL ,19187144,Die in the Dungeon RUB
 Directive 8020 Steam Key (PC) EUROPE ,19647657,Directive 8020 UAH
 Disciples II: Gallean's Return Steam Key GLOBAL ,19636427,Disciples II: Gallean's Return RUB
 Disciples II: Rise of the Elves Steam Key GLOBAL ,19636428,Disciples II: Rise of the Elves RUB
 Distrust: Polar Survival Steam Key GLOBAL ,19178984,Distrust: Polar Survival RU
 DJMAX RESPECT V (PC) Steam Key GLOBAL ,19176365,DJMAX RESPECT V CNY
 Do not Feed the Monkeys Steam Key GLOBAL ,19178985,Do Not Feed the Monkeys
 Doloc Town Steam Key (PC) GLOBAL ,19188422,Doloc Town RUB
 Dragonkin: The Banished Steam Key (PC) EUROPE ,19187217,Dragonkin: The Banished EUR
 Dying Light 2 Stay Human - Reloaded Edition (PC) Steam Key GLOBAL ,19167883,Dying Light 2 Stay Human: Reloaded Edition EUR
 Dying Light Essentials Edition Steam (PC) Key EUROPE ,19189880,Dying Light Essentials Edition NOK
 Dying Light: Definitive 10th Anniversary Edition Steam (PC) Key EUROPE ,19185219,Dying Light: Definitive Edition PLN
 EA SPORTS UFC 5: 2800 UFC Points (Xbox X|S) Xbox Live Key GLOBAL ,19631286,UFC® 5 - 2800 UFC POINTS
 EARTH DEFENSE FORCE 5 Steam Key GLOBAL ,19186984,EARTH DEFENSE FORCE 5 Genba
 Earth Defense Force 6 (PC) Steam Key GLOBAL ,19187630,EARTH DEFENSE FORCE 6 UAH
 Escape from Ever After Steam Key (PC) GLOBAL ,19627032,Escape from Ever After RUB
 Exotica 2: Pet Shop Simulator Steam Key (PC) GLOBAL ,19624143,Exotica 2: Pet Shop Simulator RUB
 Figment Steam Key GLOBAL ,18867433,Figment RU
 FlatOut 2 Steam Key GLOBAL ,19636453,FlatOut 2 RUB
 Fly Corp (PC) Steam Key GLOBAL ,19148591,Fly Corp
 Food Truck Simulator (PC) Steam Key GLOBAL ,19192275,Food Truck Simulator RUB
 For The King II (PC) Steam Key EUROPE ,19175725,For The King II EU
 For The King Steam Key EUROPE ,19169447,For The King
 Forza Horizon 5 - VIP Membership (DLC) PC/XBOX LIVE Key GLOBAL ,19631183,Forza Horizon 5: VIP Membership (Xbox)
 Gothic III: Forsaken Gods Enhanced Edition Steam Key GLOBAL ,11165360,Gothic III: Forsaken Gods Enhanced Edition
 Grand Theft Auto V - Criminal Enterprise Starter Pack (DLC) (Xbox One) XBO ,19631193,Grand Theft Auto V: Criminal Enterprise Starter Pack (Xbox)
 GreedFall II: The Dying World (PC) Steam Key EUROPE ,19185218,GreedFall II: The Dying World EU
 Gym Manager (PC) Steam Key GLOBAL ,19184267,Gym Manager RUB
 Hatred Steam Key GLOBAL ,19152488,Hatred
 Hell Let Loose Steam Key GLOBAL ,19150134,Hell Let Loose
 Hello Neighbor Steam Key EUROPE ,19151228,Hello Neighbor EUR
 HENPRI Steam Key (PC) GLOBAL ,19192345,HENPRI NZD
 Heroes of Hammerwatch II (PC) Steam Key GLOBAL ,19191753,Heroes of Hammerwatch II EUR
 Heroes of Hammerwatch Steam Key GLOBAL ,19179153,Heroes of Hammerwatch EUR
 Homeworld Remastered Collection (PC) Steam Key EUROPE ,19631817,Homeworld Remastered Collection CNY
 Human: Fall Flat Steam Key EUROPE ,19169449,Human: Fall Flat EU
 IL-2 Sturmovik: Battle of Stalingrad (PC) Steam Key GLOBAL ,19615142,IL-2 Sturmovik: Battle of Stalingrad CNY
 IXION (PC) Steam Key GLOBAL ,19152616,IXION
 Karate Survivor (PC) Steam Key GLOBAL ,19185698,Karate Survivor RUB
 Kingdom Come: Deliverance II (PC) Steam Key EUROPE ,19182814,Kingdom Come: Deliverance II / Tier 1
 Kingdom Come: Deliverance II Royal Edition Steam Key (PC) EUROPE ,19192847,Kingdom Come: Deliverance II - Royal Edition
