base,tier,catID,product
cronos the new dawn,deluxe,19191450,Cronos: The New Dawn - Deluxe Edition USD
cronos the new dawn,standard,19191449,Cronos: The New Dawn USD
animal shelter,standard,19181462,Animal Shelter
animal shelter 2,standard,19192386,Animal Shelter 2 RUB
beholder 3,standard,19178982,Beholder 3 RUB
wall world,standard,19178991,Wall World
gothic ii,gold,11250607,Gothic II: Gold Edition
gothic universe,standard,11250605,Gothic Universe Edition
pathologic 3,standard,19624329,Pathologic 3 RUB
wall world 2,standard,19192751,Wall World 2 RUB
dying light 2 stay human reloaded,standard,19167883,Dying Light 2 Stay Human: Reloaded Edition EUR
death stranding 2 on the beach uah,standard,19628144,DEATH STRANDING 2: ON THE BEACH UAH
death stranding 2 on the beach digital uah,deluxe,19628145,DEATH STRANDING 2: ON THE BEACH - Digital Deluxe Edition UAH
death stranding 2 on the beach pln,standard,19628136,DEATH STRANDING 2: ON THE BEACH PLN
death stranding 2 on the beach digital pln,deluxe,19628137,DEATH STRANDING 2: ON THE BEACH - Digital Deluxe Edition PLN
black myth wukong,standard,19184631,Black Myth: Wukong USD
against the storm keepers of the stone,standard,19185319,Against the Storm - Keepers of the Stone RU
against the storm nightwatchers,standard,19190458,Against the Storm - Nightwatchers RUB
against the storm,standard,19175512,Against the Storm
alone in the dark,standard,19181328,Alone in the Dark
alone in the dark digital,deluxe,19181329,Alone in the Dark - Digital Deluxe Edition RU
battle brothers,standard,19623025,Battle Brothers RUB
blasphemous 2 mea culpa,standard,19192250,Blasphemous 2 - Mea Culpa Edition USD
car mechanic simulator 2021,standard,19181494,Car Mechanic Simulator 2021
clair obscur expedition 33,standard,19188271,Clair Obscur: Expedition 33 USD
clair obscur expedition 33,deluxe,19188272,Clair Obscur: Expedition 33 - Deluxe Edition USD
cocoon,standard,19174873,Cocoon
code vein,standard,19147546,CODE VEIN
code vein,deluxe,19147465,CODE VEIN - Deluxe Edition RUB
cowboy life simulator,standard,19622506,Cowboy Life Simulator RUB
darkest dungeon ii,standard,19177855,Darkest Dungeon II RU
darkest dungeon ii inhuman bondage,standard,19186710,Darkest Dungeon II: Inhuman Bondage RUB 
darksiders genesis,standard,18521801,Darksiders Genesis
dave the diver,deluxe,19186457,Dave The Diver - Deluxe Edition USD
days gone uah,standard,19180674,Days Gone UAH
days gone,standard,19180674,Days Gone UAH
desperados iii digital,deluxe,18870781,Desperados III - Digital Deluxe Edition RUB
disco elysium the final cut,standard,19179076,Disco Elysium - The Final Cut
disco elysium final cut,standard,19179076,Disco Elysium - The Final Cut
dragon s dogma 2,standard,19181272,Dragon's Dogma 2
dragon s dogma 2,deluxe,19181273,Dragon's Dogma 2 - Deluxe Edition
dragon s dogma dark arisen,standard,19153870,Dragon's Dogma: Dark Arisen USD
dredge cis,standard,19188042,DREDGE CIS
dredge,standard,19188042,DREDGE CIS
dredge,complete,19192264,DREDGE - Complete Edition USD
dredge,deluxe,19188043,DREDGE - Deluxe Edition USD
elden ring,standard,19151324,ELDEN RING
elden ring nightreign,standard,19187051,ELDEN RING NIGHTREIGN RUB
elden ring nightreign,deluxe,19187052,ELDEN RING NIGHTREIGN - Deluxe Edition RUB
endless legend 2,standard,19191495,ENDLESS™ Legend 2 RUB
escape the backrooms,standard,19191502,Escape the Backrooms RUB
everything is crab the animal evolution roguelite,standard,19666735,Everything is Crab: The Animal Evolution Roguelite RUB
far far west,standard,19651048,Far Far West RUB
farming simulator 25 uah,standard,19642460,Farming Simulator 25 UAH
farming simulator 25,standard,19642460,Farming Simulator 25 UAH
five hearts under one roof,standard,19659569,Five Hearts Under One Roof RUB
five hearts under one roof season 2,standard,19659570,Five Hearts Under One Roof Season 2 RUB
gecko gods,standard,19643708,Gecko Gods RUB
he is coming,standard,19189551,He is Coming RUB
heroes of might and magic olden era,standard,19650812,Heroes of Might and Magic: Olden Era RUB
jurassic world evolution 2,standard,19642902,Jurassic World Evolution 2 USD
jurassic world evolution 2,deluxe,19642903,Jurassic World Evolution 2: Deluxe Edition USD
jurassic world evolution 3,standard,19640599,Jurassic World Evolution 3 USD
lego voyagers,standard,19191600,LEGO® Voyagers RUB
len s island,standard,19188897,Len's Island RUB
little nightmares iii,deluxe,19189178,Little Nightmares III - Deluxe Edition RUB
little nightmares iii,standard,19189176,Little Nightmares III RUB
mafia the old country,standard,19635800,Mafia: The Old Country USD
manor lords,standard,19181518,Manor Lords RUS
marathon cis,standard,19626996,Marathon CIS
marathon,standard,19626996,Marathon CIS
marathon cis,deluxe,19626997,Marathon - Deluxe Edition CIS
marathon,deluxe,19626997,Marathon - Deluxe Edition CIS
menace,standard,19627196,MENACE RUB
mixtape,standard,19665539,Mixtape RUB
monster hunter rise cis,standard,19153885,MONSTER HUNTER RISE CIS
monster hunter rise,standard,19153885,MONSTER HUNTER RISE CIS
monster hunter wilds cis,standard,19185649,Monster Hunter Wilds CIS
monster hunter wilds,standard,19185649,Monster Hunter Wilds CIS
monster hunter wilds cis,deluxe,19185651,Monster Hunter Wilds - Deluxe Edition CIS
