PRODUCTID,listing,catID,product
69f34fd4faa68a1cfc282545,007 First Light EU,19622556,007 First Light 
5c9b65e32539a4e8f17899e1,12 is Better Than 6,19168531,12 is Better Than 6 
68d3aa2e121413507a450b19,ARC Raiders,19192617,ARC Raiders RUB
5c9b5f302539a4e8f1726532,Alan Wake Collector's Edition,16656326,Alan Wake Collector’s Edition
5c9b651e2539a4e8f1775c62,Amnesia: Memories,19038937,Amnesia™: Memories
63d151c3bb540500018242ae,Animal Shelter - Horse Shelter DLC,19181469,Animal Shelter - Horse Shelter DLC RU
62d998aa3b68a30001ca6143,Animal Shelter - Puppies & Kittens DLC,19181464,Animal Shelter - Puppies & Kittens DLC RU
64ce521440466d26b40fa4fc,Animal Shelter - Vet Clinic DLC,19181466,Animal Shelter - Vet Clinic DLC RU
66780b8fe73ff21ac40c52dc,Animal Shelter 2,19192386,Animal Shelter 2 RUB
5ebe6e59d9f56e2d4ed01d6d,Apex Legends - 6700 Apex Coins XBOX One CD Key,19191883,APEX Legends: 6700 Coins (Xbox)
69cccfe20aa44d2eb617762e,Ariana and the Elder Codex,19654072,Ariana and the Elder Codex 
602dbc6c6b2e10ae8744d476,Assetto Corsa Competizione EU,19149799,Assetto Corsa Competizione EUR
5f9c160c3a54d2ca168f6d90,Assetto Corsa EU,19149791,Assetto Corsa EUR
6083ffe86b2e10ae8723c564,Assetto Corsa Ultimate Edition EU,19149797,Assetto Corsa - Ultimate Edition EU
626bb895a12e5a0001dde23f,Bakery Simulator,19183539,Bakery Simulator RUB
5c9b77ef2539a4e8f183e4a0,Battlefield V XBOX One CD Key,19631165,BATTLEFIELD V (Xbox)
5c9b7ad12539a4e8f185c9eb,Beholder,19178979,Beholder RU
5c9b7a152539a4e8f1853bbc,Beholder 2,19178981,Beholder 2 RU
62209293eef19000011f38f8,Beholder 3,19178982,Beholder 3 RUB
667e902a26ea3b4755bcd66f,Black Myth: Wukong Deluxe Edition,19184699,Black Myth: Wukong - Deluxe Edition USD
687655c0fced8b988b9b1575,Borderlands 4 Super Deluxe Edition EU,19631886,Borderlands 4 - Super Deluxe Edition 
6332170644645700012eaba7,Brotato,19672457,Brotato 
68e71301369f82000b7b4fcf,Bulletstorm Full Clip Edition Duke Nukem Bundle,19631719,BULLETSTORM: FULL CLIP EDITION DUKE NUKEM BUNDLE 
690d9e302f0f696a852a354f,CODE VEIN II Deluxe Edition EU,19191997,Code Vein II - Deluxe Edition 
690d9cc0c824d953bac7617c,CODE VEIN II EU,19191996,Code Vein II 
690d9f741086e836c4baf4c1,CODE VEIN II Ultimate Edition EU,19191998,Code Vein II - Ultimate Edition EUR
6384f47774cdef000161ede7,Cafe Owner Simulator,19181616,Cafe Owner Simulator RUB
5c9b5f7e2539a4e8f1729e7b,Call of Duty 2,19151216,Call of Duty® 2 
